Item Name,Category,MRP,Cost,Price,Barcode,Stock unit,Tax type,Tax percentage,Stock Count,,,,,,,,,,,,,,,,
AVOCADO 240ml,Cane Blend,70,,,CFRST01,,y,12,,,,,,,,,,,,,,,,,
BLACK SALTED 240ml,Cane Blend,35,,,CFRST02,,y,12,,,,,,,,,,,,,,,,,
BLUEBERRY 240ml,Cane Blend,70,,,CFRST03,,y,12,,,,,,,,,,,,,,,,,
COFFEE 240ml,Cane Blend,60,,,CFRST04,,y,12,,,,,,,,,,,,,,,,,
DRAGON FRUIT 240ml,Cane Blend,50,,,CFRST05,,y,12,,,,,,,,,,,,,,,,,
FIG 240ml,Cane Blend,50,,,CFRST06,,y,12,,,,,,,,,,,,,,,,,
GINGER 240ml,Cane Blend,35,,,CFRST07,,y,12,,,,,,,,,,,,,,,,,
GOOSEBERRY 240ml,Cane Blend,40,,,CFRST08,,y,12,,,,,,,,,,,,,,,,,
GRAPES 240ml,Cane Blend,50,,,CFRST09,,y,12,,,,,,,,,,,,,,,,,
GUAVA 240ml,Cane Blend,50,,,CFRST10,,y,12,,,,,,,,,,,,,,,,,
ICE APPLE 240ml,Cane Blend,60,,,CFRST11,,y,12,,,,,,,,,,,,,,,,,
JACKFRUIT 240ml,Cane Blend,50,,,CFRST12,,y,12,,,,,,,,,,,,,,,,,
JALJEERA 240ml,Cane Blend,35,,,CFRST13,,y,12,,,,,,,,,,,,,,,,,
JAMUN 240ml,Cane Blend,60,,,CFRST14,,y,12,,,,,,,,,,,,,,,,,
JUSTCANE (PLAIN) 240ml,Cane Blend,30,,,CFRST15,,y,12,,,,,,,,,,,,,,,,,
LEMON 240ml,Cane Blend,30,,,CFRST16,,y,12,,,,,,,,,,,,,,,,,
LEMON & GINGER 240ml,Cane Blend,35,,,CFRST17,,y,12,,,,,,,,,,,,,,,,,
MINT 240ml,Cane Blend,35,,,CFRST18,,y,12,,,,,,,,,,,,,,,,,
MINT & LEMON 240ml,Cane Blend,40,,,CFRST19,,y,12,,,,,,,,,,,,,,,,,
"MINT, LEMON & GINGER 240ml",Cane Blend,40,,,CFRST20,,y,12,,,,,,,,,,,,,,,,,
MOSAMBI 240ml,Cane Blend,50,,,CFRST21,,y,12,,,,,,,,,,,,,,,,,
MUSKMELON 240ml,Cane Blend,50,,,CFRST22,,y,12,,,,,,,,,,,,,,,,,
ORANGE 240ml,Cane Blend,50,,,CFRST23,,y,12,,,,,,,,,,,,,,,,,
PINEAPPLE 240ml,Cane Blend,50,,,CFRST24,,y,12,,,,,,,,,,,,,,,,,
POMEGRANATE 240ml,Cane Blend,60,,,CFRST25,,y,12,,,,,,,,,,,,,,,,,
STRAWBERRY 240ml,Cane Blend,70,,,CFRST26,,y,12,,,,,,,,,,,,,,,,,
WATERMELON 240ml,Cane Blend,40,,,CFRST27,,y,12,,,,,,,,,,,,,,,,,
AVOCADO 500 ml,Cane Blend,140,,,CFRST28,,y,12,,,,,,,,,,,,,,,,,
BLACK SALTED 500 ml,Cane Blend,70,,,CFRST29,,y,12,,,,,,,,,,,,,,,,,
BLUEBERRY 500 ml,Cane Blend,140,,,CFRST30,,y,12,,,,,,,,,,,,,,,,,
COFFEE 500 ml,Cane Blend,120,,,CFRST31,,y,12,,,,,,,,,,,,,,,,,
DRAGON FRUIT 500 ml,Cane Blend,100,,,CFRST32,,y,12,,,,,,,,,,,,,,,,,
FIG 500 ml,Cane Blend,100,,,CFRST33,,y,12,,,,,,,,,,,,,,,,,
GINGER 500 ml,Cane Blend,70,,,CFRST34,,y,12,,,,,,,,,,,,,,,,,
GOOSEBERRY 500 ml,Cane Blend,80,,,CFRST35,,y,12,,,,,,,,,,,,,,,,,
GRAPES 500 ml,Cane Blend,100,,,CFRST36,,y,12,,,,,,,,,,,,,,,,,
GUAVA 500 ml,Cane Blend,100,,,CFRST37,,y,12,,,,,,,,,,,,,,,,,
ICE APPLE 500 ml,Cane Blend,120,,,CFRST38,,y,12,,,,,,,,,,,,,,,,,
JACKFRUIT 500 ml,Cane Blend,100,,,CFRST39,,y,12,,,,,,,,,,,,,,,,,
JALJEERA 500 ml,Cane Blend,70,,,CFRST40,,y,12,,,,,,,,,,,,,,,,,
JAMUN 500 ml,Cane Blend,120,,,CFRST41,,y,12,,,,,,,,,,,,,,,,,
JUSTCANE (PLAIN) 500 ml,Cane Blend,60,,,CFRST42,,y,12,,,,,,,,,,,,,,,,,
LEMON 500 ml,Cane Blend,60,,,CFRST43,,y,12,,,,,,,,,,,,,,,,,
LEMON & GINGER 500 ml,Cane Blend,70,,,CFRST44,,y,12,,,,,,,,,,,,,,,,,
MINT 500 ml,Cane Blend,70,,,CFRST45,,y,12,,,,,,,,,,,,,,,,,
MINT & LEMON 500 ml,Cane Blend,80,,,CFRST46,,y,12,,,,,,,,,,,,,,,,,
"MINT, LEMON & GINGER 500 ml",Cane Blend,80,,,CFRST47,,y,12,,,,,,,,,,,,,,,,,
MOSAMBI 500 ml,Cane Blend,100,,,CFRST48,,y,12,,,,,,,,,,,,,,,,,
MUSKMELON 500 ml,Cane Blend,100,,,CFRST49,,y,12,,,,,,,,,,,,,,,,,
ORANGE 500 ml,Cane Blend,100,,,CFRST50,,y,12,,,,,,,,,,,,,,,,,
PINEAPPLE 500 ml,Cane Blend,100,,,CFRST51,,y,12,,,,,,,,,,,,,,,,,
POMEGRANATE 500 ml,Cane Blend,120,,,CFRST52,,y,12,,,,,,,,,,,,,,,,,
STRAWBERRY 500 ml,Cane Blend,140,,,CFRST53,,y,12,,,,,,,,,,,,,,,,,
TENDER COCONUT 500ml,Cane Blend,120,,,CFRST54,,y,12,,,,,,,,,,,,,,,,,
WATERMELON 500 ml,Cane Blend,80,,,CFRST55,,y,12,,,,,,,,,,,,,,,,,
BLUEBERRY CANE FUSION,Cane Fusion,200,,,CFRST56,,y,12,,,,,,,,,,,,,,,,,
DRAGON FRUIT CANE FUSION,Cane Fusion,160,,,CFRST57,,y,12,,,,,,,,,,,,,,,,,
FIG CANE FUSION,Cane Fusion,160,,,CFRST58,,y,12,,,,,,,,,,,,,,,,,
GRAPES CANE FUSION,Cane Fusion,160,,,CFRST59,,y,12,,,,,,,,,,,,,,,,,
ICE APPLE CANE FUSION,Cane Fusion,210,,,CFRST60,,y,12,,,,,,,,,,,,,,,,,
JAMUN CANE FUSION,Cane Fusion,160,,,CFRST61,,y,12,,,,,,,,,,,,,,,,,
MOSAMBI CANE FUSION,Cane Fusion,150,,,CFRST62,,y,12,,,,,,,,,,,,,,,,,
ORANGE CANE FUSION,Cane Fusion,180,,,CFRST63,,y,12,,,,,,,,,,,,,,,,,
PINEAPPLE CANE FUSION,Cane Fusion,160,,,CFRST64,,y,12,,,,,,,,,,,,,,,,,
POMEGRANATE CANE FUSION,Cane Fusion,200,,,CFRST65,,y,12,,,,,,,,,,,,,,,,,
STRAWBERRY CANE FUSION,Cane Fusion,200,,,CFRST66,,y,12,,,,,,,,,,,,,,,,,
WATERMELON CANE FUSION,Cane Fusion,160,,,CFRST67,,y,12,,,,,,,,,,,,,,,,,
ALMOND & CASHEW,Cane Pops,30,,,CFRST68,,y,12,,,,,,,,,,,,,,,,,
AVOCADO CANESICLE,Cane Pops,25,,,CFRST69,,y,12,,,,,,,,,,,,,,,,,
CHOCO CHIPS CANESICLE,Cane Pops,15,,,CFRST70,,y,12,,,,,,,,,,,,,,,,,
COFFEE CANESICLE,Cane Pops,20,,,CFRST71,,y,12,,,,,,,,,,,,,,,,,
DRAGON CANESICLE,Cane Pops,20,,,CFRST72,,y,12,,,,,,,,,,,,,,,,,
FIG CANESICLE,Cane Pops,20,,,CFRST73,,y,12,,,,,,,,,,,,,,,,,
GOOSEBERRY CANESICLE,Cane Pops,20,,,CFRST74,,y,12,,,,,,,,,,,,,,,,,
GRAPES CANESICLE,Cane Pops,20,,,CFRST75,,y,12,,,,,,,,,,,,,,,,,
GUAVA CANESICLE,Cane Pops,20,,,CFRST76,,y,12,,,,,,,,,,,,,,,,,
JAMUN CANESICLE,Cane Pops,20,,,CFRST77,,y,12,,,,,,,,,,,,,,,,,
JUSTCANE CANESICLE,Cane Pops,10,,,CFRST78,,y,12,,,,,,,,,,,,,,,,,
LEMON & GINGER CANESICLE,Cane Pops,15,,,CFRST79,,y,12,,,,,,,,,,,,,,,,,
MUSKMELON CANESICLE,Cane Pops,20,,,CFRST80,,y,12,,,,,,,,,,,,,,,,,
ORANGE CANESICLE,Cane Pops,20,,,CFRST81,,y,12,,,,,,,,,,,,,,,,,
PINEAPPLE CANESICLE,Cane Pops,20,,,CFRST82,,y,12,,,,,,,,,,,,,,,,,
POMEGRANATE CANESICLE,Cane Pops,20,,,CFRST83,,y,12,,,,,,,,,,,,,,,,,
STRAWBERRY CANESICLE,Cane Pops,20,,,CFRST84,,y,12,,,,,,,,,,,,,,,,,
TENDER COCONUT CANESICLE,Cane Pops,25,,,CFRST85,,y,12,,,,,,,,,,,,,,,,,
WATERMELON CANESICLE,Cane Pops,20,,,CFRST86,,y,12,,,,,,,,,,,,,,,,,
WATERMELON BLAST,Cane Special,350,,,CFRST87,,y,12,,,,,,,,,,,,,,,,,
MUSKMELON BLAST,Cane Special,130,,,CFRST88,,y,12,,,,,,,,,,,,,,,,,
TENDER COCONUT 50,Others,50,,,CFRST89,,y,12,,,,,,,,,,,,,,,,,
TENDER COCONUT 90,Others,90,,,CFRST90,,y,12,,,,,,,,,,,,,,,,,
WATER BOTTLE 1 LITRE,Others,20,,,CFRST91,,y,12,,,,,,,,,,,,,,,,,
WATER BOTTLE 500ML,Others,10,,,CFRST92,,y,12,,,,,,,,,,,,,,,,,
PEANUT BARFI,Others,5,,,CFRST93,,y,12,,,,,,,,,,,,,,,,,
PACKAGING CHARGE,Others,10,,,CFRST94,,y,12,,,,,,,,,,,,,,,,,
